seller_id,num_orders,total_revenue,avg_order_value,avg_freight,num_unique_products,main_category,avg_review_score,seller_state,seller_lat,seller_lng,num_states_served,num_customers,delay_rate,cluster
0015a82c2db000af6aaaf3ae2ecb0532,3,2685.0,895.0,21.02,1,small_appliances,3.6666666666666665,SP,-23.640443596560736,-46.54174227300769,2,3,0.0,0
001cca7ae9ae17fb1caed9dfb1094831,200,25080.03,104.9373640167364,37.046610878661085,11,garden_tools,3.902542372881356,ES,-20.27851289140612,-40.41167522341207,18,200,0.0666666666666666,0
001e6ad469a905060d959994f1b41e4f,1,250.0,250.0,17.94,1,sports_leisure,1.0,RJ,-22.872354587681084,-43.027432812835386,1,1,0.0,0
002100f778ceb8431b7a1020ff7ab48f,51,1234.5,22.445454545454545,14.430181818181818,24,furniture_decor,3.981818181818182,SP,-20.52875913617737,-47.411109783856105,13,51,0.18,0
003554e2dce176b5555353e4f3555ac8,1,120.0,120.0,19.38,1,unknown,5.0,GO,-16.640574122551232,-49.27648326906267,1,1,0.0,0
004c9cd9d87a3c30c522c48c4fc07416,158,19712.71,115.95711764705882,20.88958823529412,88,bed_bath_table,4.1437125748503,SP,-21.75732063771276,-48.82974353343716,18,158,0.0833333333333333,0
00720abe85ba0859807595bbf045a33b,13,1007.5,38.75,12.153076923076924,9,housewares,3.6538461538461537,SP,-23.451973236755524,-46.55717167587118,6,13,0.1538461538461538,0
00ab3eff1b5192e5f1a63bcecfee11c8,1,98.0,98.0,12.08,1,health_beauty,5.0,SP,-23.62753429519753,-46.60829070808083,1,1,0.0,0
00d8b143d12632bad99c0ad66ad52825,1,86.0,86.0,51.1,1,fashion_bags_accessories,5.0,MG,-19.927104133305765,-43.94496355953479,1,1,0.0,0
00ee68308b45bc5e2660cd833c3f81cc,135,20260.0,117.7906976744186,18.49220930232558,23,bed_bath_table,4.32748538011696,SP,-23.556190575040848,-46.56912835039078,10,135,0.0888888888888888,0
00fc707aaaad2d31347cf883cd2dfe10,103,12684.9,93.96222222222222,16.926592592592595,19,computers_accessories,3.791044776119403,PR,-23.38247209396673,-51.927966489669885,10,103,0.0485436893203883,0
010543a62bd80aa422851e79a3bc7540,2,1416.0,708.0,15.975,1,computers_accessories,4.5,SP,-23.538268511790665,-46.63942263256764,2,2,0.0,0
010da0602d7774602cd1b3f5fb7b709e,1,849.5,169.9,46.05,1,kitchen_dining_laundry_garden_furniture,1.0,SP,-23.710466484131672,-46.548939650481294,1,1,0.0,0
011b0eaba87386a2ae96a7d32bb531d1,1,99.98,49.99,14.59,1,health_beauty,4.0,SP,-22.10367343012363,-50.17893613850754,1,1,0.0,0
01266d4c46afa519678d16a8b683d325,3,90.25,30.08333333333333,15.743333333333334,3,costruction_tools_tools,5.0,PR,-25.44361910981016,-49.27685485993967,2,3,0.0,0
013900e863eace745d3ec7614cab5b1a,23,1619.7,62.29615384615385,18.064230769230768,19,fashion_shoes,4.730769230769231,PR,-25.44178653148088,-49.311076015365074,9,23,0.0,0
014c0679dd340a0e338872e7ec85666a,14,7058.0,470.53333333333336,41.88733333333333,10,kitchen_dining_laundry_garden_furniture,3.6666666666666665,MG,-19.545340606723503,-42.643848513674975,8,14,0.1428571428571428,0
014d9a685fd57276679edd00e07089e5,11,729.88,60.82333333333333,12.244166666666668,3,stationery,3.8333333333333335,PR,-23.428319760676168,-51.95833421266876,5,11,0.0,0
0176f73cc1195f367f7b32db1e5b3aa8,38,4733.1,121.36153846153849,33.00025641025641,18,bed_bath_table,4.0256410256410255,SP,-21.75732063771276,-48.82974353343716,7,38,0.1111111111111111,0
01bcc9d254a0143f0ce9791b960b2a47,11,1521.21,138.29181818181817,25.241818181818186,3,health_beauty,4.4,GO,-14.518474806651268,-49.14209708875239,9,11,0.0,0
