seller_id,seller_zip_code_prefix,seller_city,seller_state,seller_lat,seller_lng,seller_geo_city,seller_geo_state
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,-22.89384803253408,-47.06133702244195,campinas,SP
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,-22.38343651404282,-46.947926542619655,mogi-guacu,SP
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,-22.909572437655488,-43.177703112986904,rio de janeiro,RJ
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,-23.65724198521615,-46.612830839593656,sao paulo,SP
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,-22.964802783097714,-46.53441931528525,braganca paulista,SP
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,-22.89524485967227,-43.231902550437,rio de janeiro,RJ
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,-9.024839005157318,-36.57020044972058,brejão,PE
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,-21.437402661479663,-50.07693057198177,penapolis,SP
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,-23.56843915687453,-46.634555491641365,sao paulo,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,-25.456933882855157,-49.30945498395365,curitiba,PR
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,-16.33320358612409,-48.93962957040374,anapolis,GO
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,-22.252002596014556,-47.81543112451409,itirapina,SP
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,-23.545944543972997,-46.64936937401519,sao paulo,SP
05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,-23.579830303024895,-46.75751352696019,sao paulo,SP
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC,-28.478878471630875,-48.99587861083375,tubarao,SC
